502 541 135  0.4744 6.95797242859056E-11
503 541 135  0.4919 1.55866099629878E-09
504 541 135  0.6037 1.81458773200069E-08
505 541 135  0.4758 1.39862007365598E-07
506 545 136  0.5103 1.34489953092716E-10
507 545 136  0.4873 2.55239826213154E-09
508 545 136  0.4806 2.72493278599582E-08
509 545 136  0.4788 1.96151418669398E-07
510 549 137  0.4805 2.48400687935384E-10
511 549 137  0.4816 4.10157014590002E-09
512 549 137  0.4812 4.03588660319174E-08
513 549 137  0.4817 2.71932338008168E-07
514 553 138  0.4845 4.42327408771588E-10
515 553 138  0.6093 6.47791612960928E-09
516 553 138  0.4838 5.89843749645907E-08
517 553 138  0.5016 3.7279462495904E-07
518 557 139  0.4864 7.64364441804483E-10
519 557 139  0.4865 1.00672229440241E-08
520 557 139  0.7493 8.51027580895583E-08
521 561 140  0.9672 5.3878937554162E-11
522 561 140  0.6607 1.28784004239787E-09
523 561 140  0.4936 1.54085362400786E-08
524 561 140  0.5044 1.21265946539539E-07
525 565 141  0.642 1.0622892955137E-10
526 565 141  0.4937 2.12268052763827E-09
527 565 141  0.4932 2.32432092100068E-08
528 565 141  0.4925 1.70724008520775E-07
529 569 142  0.5115 1.99195394636561E-10
530 569 142  0.4991 3.43095073594436E-09
531 569 142  0.4954 3.45754194302869E-08
532 569 142  0.4952 2.37562977335779E-07
533 573 143  0.4998 3.58911132623339E-10
534 573 143  0.5028 5.44777999325005E-09
535 573 143  0.6179 5.07451871901121E-08
536 573 143  0.5134 3.26853232182675E-07
537 577 144  0.5015 6.26125201620418E-10
538 577 144  0.5016 8.50870096674278E-09
539 577 144  0.5021 7.35147949885325E-08
540 581 145  0.5045 4.14190760515751E-11
541 581 145  0.5052 1.06327656197121E-09
542 581 145  0.504 1.30849456558891E-08
543 581 145  0.5024 1.05169707199672E-07
544 585 146  0.6262 8.34923367141833E-11
545 585 146  0.5252 1.76446052747517E-09
546 585 146  0.5062 1.98278717447423E-08
547 585 146  0.5046 1.4863357875003E-07
548 589 147  0.5083 1.59212829417836E-10
549 589 147  0.5112 2.8691402197297E-09
550 589 147  0.5203 2.96241938286119E-08
551 589 147  0.5106 2.07597050996874E-07
552 593 148  0.5325 2.90590079525212E-10
553 593 148  0.5116 4.58067119494103E-09
554 593 148  0.6325 4.36626976536426E-08
555 593 148  0.5227 2.86659480502669E-07
556 597 149  0.5153 5.12140295167205E-10
557 597 149  0.5143 7.19078766071449E-09
558 597 149  0.5173 6.35141895545323E-08
559 601 150  0.5173 3.15768440591282E-11
560 601 150  0.5272 8.77019820199114E-10
561 601 150  0.5176 1.11112947172494E-08
562 601 150  0.5177 9.12250803687585E-08
563 605 151  0.6383 6.52416685111918E-11
564 605 151  0.5189 1.46574715208673E-09
565 605 151  0.5306 1.69143326240382E-08
566 605 151  0.5213 1.29424658344342E-07
567 609 152  0.5524 1.26761653340378E-10
568 609 152  0.5259 2.39828159745372E-09
569 609 152  0.5236 2.53825267471965E-08
570 609 152  0.5354 1.81446185296067E-07
571 613 153  0.5263 2.34663115839101E-10
572 613 153  0.532 3.85045336575964E-09
573 613 153  0.6427 3.75702728624721E-08
574 613 153  0.5239 2.51461023548356E-07
575 617 154  0.5397 4.1816928538693E-10
576 617 154  0.5306 6.07579669526335E-09
577 617 154  0.5302 5.48773574447178E-08
578 617 154  0.5281 3.44624439368827E-07
579 621 155  0.554 7.22522115507032E-10
580 621 155  0.5736 9.43404749720832E-09
581 621 155  0.5352 7.91355140098316E-08
582 625 156  0.6494 5.06318780610281E-11
583 625 156  0.553 1.21660155475896E-09
584 625 156  0.5349 1.4427525959523E-08
585 625 156  0.5466 1.12708818785792E-07
586 629 157  0.5379 1.00464569966523E-10
587 629 157  0.5359 2.00354626856736E-09
588 629 157  0.537 2.17467779180047E-08
589 629 157  0.5355 1.58606958179375E-07
590 633 158  0.5874 1.889181535629E-10
591 633 158  0.6549 3.23531663525098E-09
592 633 158  0.5699 3.2326640780253E-08
593 633 158  0.5404 2.20612441816829E-07
594 637 159  0.5496 3.40728192668289E-10
595 637 159  0.5468 5.13215567219379E-09
596 637 159  0.5426 4.74140170684662E-08
597 637 159  0.5435 3.03418290639686E-07
598 641 160  0.546 5.94383312739932E-10
599 641 160  0.6626 8.00816437952744E-09
600 641 160  0.5464 6.8647979097622E-08
601 645 161  0.5493 3.8980359861549E-11
602 645 161  0.5478 1.00878799656295E-09
603 645 161  0.5501 1.23041488119971E-08
604 645 161  0.5889 9.81533886426691E-08
605 649 162  0.5597 7.91906295427654E-11
606 649 162  0.5742 1.67257912339924E-09
