300 329 82  0.3219 1.23906735886992E-10
301 329 82  0.3206 2.58561868822742E-09
302 329 82  0.3229 3.00778562533257E-08
303 329 82  0.3204 2.32041873522027E-07
304 333 83  0.3225 2.31139689532373E-10
305 333 83  0.3242 4.20808404040522E-09
306 333 83  0.3217 4.49600338725768E-08
307 333 83  0.3229 3.23833650221743E-07
308 337 84  0.3265 4.16983771242363E-10
309 337 84  0.3258 6.7271049449891E-09
310 337 84  0.3333 6.62861019947884E-08
311 337 84  0.328 4.46768557589467E-07
312 341 85  0.3285 7.30827759226051E-10
313 341 85  0.3322 1.05753470962782E-08
314 341 85  0.437 9.643641992975E-08
315 341 85  0.3278 6.09555126403708E-07
316 345 86  0.3322 1.24906948477907E-09
317 345 86  0.3313 1.63635549845489E-08
318 345 86  0.3406 1.38508712049546E-07
319 349 87  0.3348 9.49412279278862E-11
320 349 87  0.3343 2.08774845690494E-09
321 349 87  0.3344 2.49401461723259E-08
322 349 87  0.3352 1.96478087557452E-07
323 353 88  0.3387 1.79791730412872E-10
324 353 88  0.3573 3.42012026099608E-09
325 353 88  0.3461 3.74653089433095E-08
326 353 88  0.3381 2.75378302549178E-07
327 357 89  0.3839 3.28377403491986E-10
328 357 89  0.3448 5.50049725191414E-09
329 357 89  0.3456 5.55016003723346E-08
330 357 89  0.4581 3.81499751546034E-07
331 361 90  0.3468 5.81454409986374E-10
332 361 90  0.3445 8.69595783765777E-09
333 361 90  0.3464 8.11224129234416E-08
334 361 90  0.3441 5.22605250691192E-07
335 365 91  0.3484 1.0024159127589E-09
336 365 91  0.3475 1.35276490768891E-08
337 365 91  0.3478 1.17039567360218E-07
338 369 92  0.3523 7.25331207295807E-11
339 369 92  0.3502 1.68813677648827E-09
340 369 92  0.3591 2.07235971322635E-08
341 369 92  0.3506 1.6675081543337E-07
342 373 93  0.3553 1.39630427830793E-10
343 373 93  0.3543 2.78409564234469E-09
344 373 93  0.3541 3.12848589310408E-08
345 373 93  0.4666 2.34706375240273E-07
346 377 94  0.357 2.58454205690027E-10
347 377 94  0.3683 4.50508365839817E-09
348 377 94  0.3606 4.65668780618389E-08
349 377 94  0.3546 3.26494742360166E-07
350 381 95  0.3584 4.62681049856781E-10
351 381 95  0.3754 7.16287793534179E-09
352 381 95  0.3604 6.8377784175411E-08
353 381 95  0.3592 4.49043185742609E-07
354 385 96  0.3714 8.04980563672741E-10
355 385 96  0.3631 1.12026674959445E-08
356 385 96  0.361 9.90943717496441E-08
357 389 97  0.3666 5.51940378382439E-11
358 389 97  0.4265 1.36633588598485E-09
359 389 97  0.3658 1.72498256676409E-08
